iter	Passed	Remaining
405	7003	10247
406	7021	10230
407	7035	10208
408	7047	10184
409	7061	10161
410	7074	10138
411	7087	10114
412	7101	10092
413	7116	10073
414	7132	10054
415	7153	10042
416	7167	10020
417	7181	9999
418	7196	9979
419	7209	9956
420	7223	9933
421	7237	9912
422	7252	9893
423	7268	9874
424	7281	9851
425	7298	9833
426	7314	9815
427	7331	9797
428	7345	9776
429	7361	9758
430	7375	9736
431	7388	9714
432	7402	9693
433	7416	9672
434	7432	9653
435	7444	9629
436	7460	9612
437	7477	9594
438	7491	9573
439	7507	9554
440	7521	9533
441	7533	9510
442	7549	9492
443	7562	9469
444	7578	9451
445	7592	9430
446	7605	9408
447	7620	9389
448	7634	9369
449	7647	9346
450	7664	9329
451	7680	9312
452	7695	9291
453	7707	9269
454	7722	9250
455	7737	9230
456	7753	9212
457	7769	9194
458	7784	9174
459	7799	9155
460	7814	9136
461	7830	9118
462	7843	9097
463	7860	9079
464	7875	9060
465	7890	9041
466	7904	9022
467	7920	9003
468	7934	8983
469	7949	8964
470	7968	8949
471	7987	8934
472	8005	8918
473	8023	8903
474	8036	8882
475	8048	8859
476	8060	8837
477	8074	8817
478	8088	8797
479	8104	8780
480	8119	8760
481	8136	8744
482	8154	8728
483	8171	8711
484	8187	8693
485	8202	8674
486	8217	8656
487	8230	8635
488	8246	8617
489	8262	8600
490	8276	8580
491	8291	8561
492	8307	8543
493	8323	8525
494	8339	8507
495	8355	8490
496	8369	8470
497	8386	8454
498	8403	8436
499	8419	8419
500	8434	8400
501	8449	8382
502	8464	8363
503	8479	8344
504	8495	8327
505	8510	8308
506	8525	8290
507	8541	8272
508	8554	8252
509	8569	8233
510	8586	8216
511	8601	8198
512	8616	8180
513	8632	8162
514	8648	8144
515	8663	8126
516	8677	8107
517	8692	8088
518	8707	8070
519	8722	8051
520	8739	8034
521	8754	8016
522	8770	7999
523	8784	7980
524	8798	7960
525	8821	7949
526	8836	7931
527	8853	7914
528	8868	7896
529	8884	7878
530	8900	7861
531	8913	7841
532	8929	7823
533	8945	7806
534	8960	7787
535	8975	7769
536	8992	7753
537	9006	7733
538	9022	7717
539	9043	7703
540	9062	7688
541	9081	7673
542	9097	7657
543	9114	7640
544	9132	7624
545	9146	7605
546	9163	7589
547	9179	7571
548	9193	7552
549	9208	7533
550	9226	7518
551	9242	7500
552	9255	7481
553	9270	7463
554	9286	7445
