,mean,std,micro
acc,0.9526,0.0106,0.9526
prec,0.9629,0.0144,0.9625
recall,0.8262,0.0299,0.8258
f1,0.8892,0.0219,0.8889
auc_roc,0.9816,0.0065,0.982
ap,0.9609,0.0117,0.9613
