,mean,std,micro
acc,0.277,0.0144,0.2769
prec,0.2407,0.0135,0.2408
recall,0.9972,0.0025,0.9972
f1,0.3876,0.0174,0.3879
auc_roc,0.7995,0.0164,0.7994
ap,0.6323,0.034,0.6315
