length,bubble sort - losowe,quick sort - losowe,merge sort - losowe,heap sort - losowe,shell sort - losowe,counting sort - losowe,c++ sort - losowe,bubble sort - stałe,quick sort - stałe,merge sort - stałe,heap sort - stałe,shell sort - stałe,counting sort - stałe,c++ sort - stałe,bubble sort - rosnące,quick sort - rosnące,merge sort - rosnące,heap sort - rosnące,shell sort - rosnące,counting sort - rosnące,c++ sort - rosnące,bubble sort - malejące,quick sort - malejące,merge sort - malejące,heap sort - malejące,shell sort - malejące,counting sort - malejące,c++ sort - malejące,bubble sort - a-kształtne,quick sort - a-kształtne,merge sort - a-kształtne,heap sort - a-kształtne,shell sort - a-kształtne,counting sort - a-kształtne,c++ sort - a-kształtne,bubble sort - v-kształtne,quick sort - v-kształtne,merge sort - v-kształtne,heap sort - v-kształtne,shell sort - v-kształtne,counting sort - v-kształtne,c++ sort - v-kształtne
13000,8.253671,0.017904,0.037948,0.042131,0.044666,0.001634,0.024309,6.423373,0.012902,0.029239,0.003585,0.014377,0.001614,0.021607,6.417736,0.010112,0.042246,0.042528,0.014302,0.001631,0.019028,8.230518,0.010350,0.038379,0.038648,0.025926,0.001614,0.014720,7.608139,1.911376,0.035613,0.041383,0.022926,0.001631,0.051556,7.310961,0.067863,0.037482,0.039287,0.022484,0.001614,0.048882
14000,9.581952,0.019919,0.043925,0.047523,0.050768,0.002086,0.028012,7.472413,0.013690,0.031733,0.003850,0.015399,0.001747,0.022810,7.446144,0.010601,0.038145,0.046453,0.016218,0.001760,0.020666,9.527799,0.010921,0.039932,0.041818,0.027027,0.001747,0.015987,8.799151,2.208132,0.038529,0.044948,0.024292,0.001747,0.055525,8.468511,0.064261,0.038593,0.042022,0.024550,0.001835,0.054085
15000,11.059220,0.020884,0.039647,0.049277,0.050595,0.002130,0.028240,8.565647,0.014380,0.030041,0.004149,0.016510,0.002093,0.024462,8.615926,0.011288,0.037938,0.049609,0.016701,0.002100,0.021264,11.844039,0.012932,0.039130,0.045987,0.029558,0.002134,0.016932,11.322195,2.584801,0.038114,0.049314,0.026589,0.002232,0.060119,9.974308,0.090500,0.037598,0.047826,0.026820,0.002124,0.059858
50000,0.0,0.073942,0.152461,0.186389,0.219604,0.006555,0.102005,0.0,0.056643,0.118754,0.013813,0.066310,0.006442,0.095607,0.0,0.048420,0.146667,0.184795,0.065158,0.006531,0.082783,0.0,0.044105,0.149991,0.172814,0.120099,0.006541,0.064098,0.0,0.0,0.144985,0.183107,0.104622,0.006561,0.237082,0.0,0.0,0.144523,0.176504,0.102845,0.006908,0.219899
100000,0.0,0.154897,0.310739,0.396733,0.482055,0.014737,0.212505,0.0,0.121027,0.242743,0.027934,0.141414,0.013221,0.206382,0.0,0.091835,0.301021,0.394868,0.140456,0.013228,0.174918,0.0,0.093042,0.308629,0.369873,0.258489,0.013313,0.135084,0.0,0.0,0.299312,0.394202,0.227113,0.013762,0.507097,0.0,0.0,0.301758,0.374735,0.223501,0.013235,0.476302
150000,0.0,0.235740,0.480866,0.620995,0.706776,0.021203,0.330032,0.0,0.189318,0.381613,0.041801,0.226664,0.021149,0.332071,0.0,0.156861,0.472609,0.613778,0.226953,0.021227,0.260878,0.0,0.143371,0.488460,0.579289,0.393729,0.021186,0.216651,0.0,0.0,0.477529,0.610914,0.360444,0.021166,0.786433,0.0,0.0,0.467580,0.578708,0.360498,0.021210,0.744802
200000,0.0,0.323386,0.645236,0.849661,1.042730,0.027914,0.451294,0.0,0.250769,0.503852,0.056293,0.303155,0.028468,0.439200,0.0,0.214384,0.626999,0.840830,0.304313,0.028542,0.376393,0.0,0.196600,0.650975,0.791852,0.559045,0.028468,0.291340,0.0,0.0,0.632895,0.839845,0.493930,0.029728,1.084280,0.0,0.0,0.634991,0.802947,0.492724,0.029511,1.015432
250000,0.0,0.415113,0.812084,1.080247,1.388131,0.035301,0.582239,0.0,0.304415,0.641587,0.069800,0.380488,0.036460,0.549955,0.0,0.264490,0.799345,1.066730,0.380413,0.035848,0.467699,0.0,0.245217,0.816260,1.011317,0.695811,0.035121,0.359917,0.0,0.0,0.793429,1.067070,0.620625,0.036888,1.330394,0.0,0.0,0.786463,1.014596,0.635019,0.036021,1.302124
300000,0.0,0.491464,1.005496,1.314203,1.552825,0.045260,0.701934,0.0,0.400665,0.809359,0.084533,0.484991,0.042837,0.708865,0.0,0.327069,0.999010,1.309235,0.484457,0.044244,0.560740,0.0,0.293987,1.027929,1.233143,0.855529,0.042797,0.453947,0.0,0.0,0.990783,1.300146,0.787150,0.043503,1.666342,0.0,0.0,0.980083,1.251321,0.786858,0.042807,1.597857
350000,0.0,0.566918,1.175212,1.572669,1.968987,0.050072,0.829175,0.0,0.455351,0.926790,0.097986,0.561770,0.050048,0.823789,0.0,0.390763,1.150070,1.548044,0.567393,0.049925,0.694567,0.0,0.358150,1.184821,1.462182,1.027579,0.049963,0.528209,0.0,0.0,1.156054,1.535730,0.912516,0.050184,1.962837,0.0,0.0,1.164654,1.478461,0.913059,0.050017,1.872898
400000,0.0,0.661662,1.308749,1.856792,2.379163,0.056864,0.961534,0.0,0.528287,1.062836,0.114720,0.651420,0.057387,0.936223,0.0,0.442873,1.317679,1.789088,0.645776,0.057860,0.790137,0.0,0.423312,1.353031,1.692839,1.201865,0.057955,0.604176,0.0,0.0,1.319365,1.771681,1.074654,0.058498,2.297120,0.0,0.0,1.325178,1.721769,1.061038,0.057887,2.168458
450000,0.0,0.747568,1.510963,2.112885,2.550597,0.064608,1.185280,0.0,0.579894,1.201250,0.127133,0.725488,0.064445,1.056026,0.0,0.502548,1.487000,2.027047,0.725930,0.064469,0.888961,0.0,0.479105,1.531432,1.922055,1.354105,0.064217,0.670812,0.0,0.0,1.495519,2.026120,1.232364,0.065865,2.553149,0.0,0.0,1.502512,1.940584,1.203465,0.064621,2.507549
500000,0.0,0.831017,1.673400,2.377943,3.291760,0.071417,1.236252,0.0,0.641172,1.319973,0.141346,0.809165,0.071971,1.168790,0.0,0.550268,1.663535,2.267742,0.838699,0.072596,0.983712,0.0,0.510393,1.696770,2.154585,1.497113,0.072756,0.754098,0.0,0.0,1.671514,2.272791,1.388967,0.071665,2.838152,0.0,0.0,1.665979,2.169624,1.341301,0.075216,2.768686
550000,0.0,0.924833,1.850220,2.622620,3.240625,0.081146,1.350109,0.0,0.775502,1.471197,0.155787,0.948068,0.079243,1.362049,0.0,0.630200,1.849258,2.515436,0.946135,0.078621,1.066213,0.0,0.563747,1.890098,2.390389,1.742965,0.080609,0.869614,0.0,0.0,1.842697,2.506544,1.535801,0.078849,3.173672,0.0,0.0,1.854644,2.428222,1.547623,0.078825,3.078072
600000,0.0,1.033165,2.027489,2.913236,3.526029,0.086840,1.490769,0.0,0.839053,1.624317,0.169223,1.065327,0.086123,1.497619,0.0,0.680710,2.036599,2.768760,1.072574,0.086885,1.180295,0.0,0.618885,2.074265,2.636853,1.893907,0.087693,0.962798,0.0,0.0,2.026127,2.753708,1.742941,0.086837,3.549682,0.0,0.0,2.034781,2.678420,1.727559,0.086823,3.404377
650000,0.0,1.126873,2.186124,3.226802,3.918002,0.093337,1.617375,0.0,0.888139,1.730981,0.183599,1.130577,0.093881,1.620487,0.0,0.747238,2.181662,3.060495,1.235725,0.092430,1.388825,0.0,0.678845,2.225349,2.882002,2.147007,0.095882,1.032649,0.0,0.0,2.182865,2.995754,1.920210,0.093296,3.822235,0.0,0.0,2.191523,2.925513,1.959426,0.093256,3.715819
700000,0.0,1.209225,2.382160,3.490548,4.643710,0.101292,1.794511,0.0,0.961228,1.908827,0.198350,1.268736,0.100361,1.746179,0.0,0.813494,2.402805,3.269415,1.295161,0.101696,1.459640,0.0,0.741900,2.447998,3.106683,2.295873,0.101747,1.113737,0.0,0.0,2.396988,3.262854,2.157921,0.099834,4.140041,0.0,0.0,2.408592,3.170295,2.159308,0.101054,3.979901
750000,0.0,1.307567,2.546646,3.762153,4.624883,0.107557,1.868406,0.0,1.033794,2.049946,0.211510,1.356415,0.106834,1.895959,0.0,0.875105,2.570581,3.547694,1.329844,0.106796,1.583875,0.0,0.819219,2.625470,3.366446,2.444059,0.109335,1.186262,0.0,0.0,2.543210,3.504897,2.188734,0.107992,4.472551,0.0,0.0,2.547349,3.428560,2.211778,0.107700,4.288241
800000,0.0,1.391961,2.726664,4.063585,5.324200,0.115002,2.033585,0.0,1.104358,2.176953,0.225292,1.440402,0.115801,1.993089,0.0,0.941034,2.730561,3.795921,1.450840,0.116304,1.660304,0.0,0.881540,2.833372,3.609526,2.705532,0.114883,1.278817,0.0,0.0,2.736667,3.807335,2.389401,0.114771,4.872223,0.0,0.0,2.727255,3.679791,2.347049,0.115349,4.616595
850000,0.0,1.531863,2.897449,4.377899,5.286096,0.121013,2.186460,0.0,1.157807,2.306298,0.242349,1.520541,0.121237,2.113191,0.0,1.002346,2.935703,4.052640,1.526365,0.122087,1.782558,0.0,0.950328,3.005972,3.854994,2.774809,0.122610,1.352542,0.0,0.0,2.925846,4.046320,2.512072,0.122298,5.109115,0.0,0.0,2.907412,3.917900,2.525738,0.121781,4.924041
900000,0.0,1.596940,3.078493,4.643347,5.801239,0.128699,2.312995,0.0,1.217189,2.448681,0.252675,1.616828,0.137068,2.239780,0.0,1.043519,3.462923,4.319196,1.669519,0.128794,1.879629,0.0,0.979268,3.165327,4.109702,2.935683,0.128268,1.436735,0.0,0.0,3.076713,4.317959,2.680347,0.129141,5.445114,0.0,0.0,3.071541,4.160976,2.747068,0.130035,5.346028
950000,0.0,1.681956,3.251209,4.969682,5.783417,0.136457,2.449238,0.0,1.299079,2.647883,0.273732,1.839802,0.136032,2.387311,0.0,1.103261,3.252657,4.579500,1.788599,0.136888,1.981193,0.0,1.023787,3.366979,4.381793,3.164800,0.136960,1.511078,0.0,0.0,3.276456,4.565440,2.866331,0.135390,5.740835,0.0,0.0,3.269470,4.415598,2.958737,0.135376,5.526277
1000000,0.0,1.766516,3.396969,5.237125,7.267407,0.144265,2.578341,0.0,1.359351,2.757646,0.285764,1.815976,0.143072,2.485514,0.0,1.161746,3.495468,4.911581,1.859126,0.144605,2.093942,0.0,1.081548,3.521493,4.629677,3.346150,0.148676,1.605873,0.0,0.0,3.449525,4.822872,3.001184,0.143079,6.011030,0.0,0.0,3.453066,4.762216,3.117926,0.143297,5.880054
