,mean,std,micro
acc,0.8423,0.0373,0.8423
prec,0.6545,0.0773,0.6413
recall,0.7131,0.0602,0.7115
f1,0.6777,0.0465,0.6746
auc_roc,0.8461,0.0344,0.8414
ap,0.7922,0.0389,0.7879
