,mean,std,micro
acc,0.9572,0.0074,0.9572
prec,0.9715,0.0191,0.9707
recall,0.8386,0.0259,0.8392
f1,0.8999,0.0173,0.9001
auc_roc,0.9867,0.0042,0.9868
ap,0.9699,0.0088,0.9698
