name,J,M,lb,ub,span,error,t_avg [ms],t_std [ms]
rcmax_50_15_5,50,15,5635,5635,7424,31%,2.2672e+00,2.4582e-01
rcmax_50_20_2,50,20,5621,5621,8055,43%,3.2397e+00,4.3837e-01
rcmax_50_20_7,50,20,5851,5851,8190,39%,3.5093e+00,5.3576e-01
rcmax_50_20_6,50,20,5713,5713,8157,42%,3.3324e+00,4.6837e-01
rcmax_50_20_9,50,20,5747,5747,7683,33%,3.3590e+00,6.6566e-01
rcmax_50_20_3,50,20,5577,5577,7915,41%,3.3054e+00,5.2282e-01
cscmax_20_15_10,20,15,3007,3248,4808,59%,7.3137e-01,8.2179e-02
cscmax_20_15_5,20,15,3172,3390,4842,52%,4.1150e-01,1.0246e-02
cscmax_20_15_8,20,15,3292,3441,4860,47%,4.7940e-01,7.1472e-02
cscmax_20_15_7,20,15,3283,3475,4706,43%,4.2282e-01,8.5190e-03
cscmax_20_15_1,20,15,3001,3269,4581,52%,4.0871e-01,9.4470e-03
cscmax_20_20_6,20,20,3575,4035,6241,74%,8.4386e-01,1.5757e-01
cscmax_20_20_4,20,20,3522,3942,5239,48%,6.7113e-01,1.1026e-01
cscmax_20_20_3,20,20,3447,3763,4832,40%,1.0483e+00,1.9666e-01
cscmax_20_20_2,20,20,3403,3710,4651,36%,9.9868e-01,1.8182e-01
cscmax_20_20_9,20,20,3496,3729,5279,51%,1.0334e+00,2.0713e-01
cscmax_30_15_2,30,15,3917,4156,5877,50%,1.4345e+00,2.2138e-01
cscmax_30_15_9,30,15,4065,4304,6127,50%,1.4994e+00,1.9845e-01
cscmax_30_15_10,30,15,4141,4390,6251,50%,1.1441e+00,2.3782e-01
cscmax_30_15_5,30,15,4202,4362,5999,42%,1.5290e+00,1.8363e-01
cscmax_30_15_6,30,15,4140,4270,5749,38%,1.5004e+00,2.5127e-01
cscmax_30_20_9,30,20,4554,4941,6897,51%,2.1210e+00,4.0917e-01
cscmax_30_20_7,30,20,4302,4655,6605,53%,1.8509e+00,1.9699e-01
cscmax_30_20_3,30,20,4319,4708,6545,51%,1.1554e+00,3.0704e-02
cscmax_30_20_6,30,20,4217,4619,6140,45%,1.4246e+00,2.6736e-01
cscmax_30_20_4,30,20,4319,4739,6839,58%,1.2369e+00,2.6537e-01
cscmax_40_15_3,40,15,4917,5172,7030,42%,1.8735e+00,5.0312e-01
cscmax_40_15_6,40,15,5033,5251,7390,46%,2.1978e+00,3.6973e-01
cscmax_40_15_8,40,15,5111,5323,7508,46%,2.4631e+00,3.2382e-01
cscmax_40_15_4,40,15,5130,5240,8110,58%,2.3863e+00,5.0593e-01
cscmax_40_15_7,40,15,5105,5190,7125,39%,2.1992e+00,1.5215e-01
cscmax_40_20_10,40,20,5391,5704,7958,47%,2.4375e+00,3.6713e-01
cscmax_40_20_6,40,20,5589,5779,8232,47%,1.9841e+00,1.5319e-01
cscmax_40_20_8,40,20,5426,5765,7793,43%,2.2782e+00,1.4256e+00
cscmax_40_20_5,40,20,5423,5706,7918,46%,2.5544e+00,6.1560e-01
cscmax_40_20_9,40,20,5501,5888,8042,46%,2.0564e+00,1.8229e-01
cscmax_50_15_8,50,15,6080,6210,8467,39%,3.0426e+00,6.1388e-01
cscmax_50_15_6,50,15,6395,6463,8760,36%,2.9183e+00,6.2274e-01
cscmax_50_15_10,50,15,6001,6150,8072,34%,2.9554e+00,6.3270e-01
cscmax_50_15_4,50,15,6123,6196,8533,39%,3.0539e+00,6.5925e-01
cscmax_50_15_3,50,15,6029,6189,8824,46%,2.6395e+00,6.5841e-01
cscmax_50_20_1,50,20,6342,6772,9358,47%,3.5748e+00,7.0696e-01
cscmax_50_20_4,50,20,6499,6778,8797,35%,3.6173e+00,7.0381e-01
cscmax_50_20_3,50,20,6586,6762,9183,39%,2.9378e+00,1.7534e-01
cscmax_50_20_7,50,20,6650,6919,9669,45%,3.8555e+00,7.1916e-01
cscmax_50_20_9,50,20,6459,6638,9307,44%,3.7242e+00,6.7356e-01
